Took over 10 hours and was still working ... 
Unstable results


nrounds = 800.0000	eta = 0.2181	max_depth = 6.0000	gamma = 0.0000	Value = -0.8807


nrounds = 746.5130	eta = 0.2058	max_depth = 5.0000	gamma = 3.6674	Value = -0.9625 
Gave LB Score of


nrounds = 372.6622	eta = 0.2842	max_depth = 6.0000	gamma = 0.0000	Value = -0.9136 


nrounds = 50.0000	eta = 0.5137	max_depth = 6.0000	gamma = 0.0000	Value = -0.9639 





opt_res <- BayesianOptimization(opt_fn
                                ,bounds = list(
                                    nrounds = c(50,800)
                                    ,eta = c(0.001,0.7)
                                    ,max_depth = c(2L,6L)
                                    ,gamma = c(0,50)
                               )
                                ,init_grid_dt = NULL
                                ,init_points = 10
                                ,n_iter = 200
                                ,acq = "ucb"
                                ,kappa = 2.576
                                ,eps = 0.0
                                ,verbose = TRUE)

elapsed = 878.96	Round = 83	nrounds = 799.9058	eta = 0.7000	max_depth = 6.0000	gamma = 0.0000	Value = -0.7783 
elapsed = 21.72	Round = 84	nrounds = 50.0000	eta = 0.4038	max_depth = 2.0000	gamma = 50.0000	Value = -0.9924 
elapsed = 37.19	Round = 85	nrounds = 800.0000	eta = 0.6189	max_depth = 6.0000	gamma = 50.0000	Value = -0.9902 
elapsed = 48.70	Round = 86	nrounds = 800.0000	eta = 0.4126	max_depth = 6.0000	gamma = 50.0000	Value = -0.9887 
elapsed = 55.11	Round = 87	nrounds = 50.0000	eta = 0.4501	max_depth = 6.0000	gamma = 0.0000	Value = -0.9659 
elapsed = 762.66	Round = 88	nrounds = 800.0000	eta = 0.7000	max_depth = 6.0000	gamma = 1.2031	Value = -0.8068 
elapsed = 861.59	Round = 89	nrounds = 799.9807	eta = 0.7000	max_depth = 6.0000	gamma = 0.0000	Value = -0.7783 
elapsed = 863.04	Round = 90	nrounds = 800.0000	eta = 0.6433	max_depth = 6.0000	gamma = 0.0018	Value = -0.7844 
elapsed = 61.69	Round = 91	nrounds = 800.0000	eta = 0.2298	max_depth = 2.0000	gamma = 38.6191	Value = -0.9903 
elapsed = 862.31	Round = 92	nrounds = 798.0249	eta = 0.7000	max_depth = 6.0000	gamma = 0.0000	Value = -0.7786 
elapsed = 21.71	Round = 93	nrounds = 50.0000	eta = 0.1849	max_depth = 2.0000	gamma = 29.8263	Value = -1.0022 
elapsed = 864.50	Round = 94	nrounds = 800.0000	eta = 0.7000	max_depth = 6.0000	gamma = 0.1563	Value = -0.7779 
elapsed = 874.90	Round = 95	nrounds = 800.0000	eta = 0.7000	max_depth = 6.0000	gamma = 0.0000	Value = -0.7780 
elapsed = 870.89	Round = 96	nrounds = 800.0000	eta = 0.7000	max_depth = 6.0000	gamma = 0.4586	Value = -0.7773 
elapsed = 860.45	Round = 97	nrounds = 798.2777	eta = 0.7000	max_depth = 6.0000	gamma = 0.0986	Value = -0.7778 
elapsed = 868.46	Round = 98	nrounds = 800.0000	eta = 0.7000	max_depth = 6.0000	gamma = 0.0000	Value = -0.7780 
elapsed = 862.22	Round = 99	nrounds = 800.0000	eta = 0.6996	max_depth = 6.0000	gamma = 0.1068	Value = -0.7806 
elapsed = 865.14	Round = 100	nrounds = 800.0000	eta = 0.7000	max_depth = 6.0000	gamma = 0.0000	Value = -0.7780 
elapsed = 864.73	Round = 101	nrounds = 800.0000	eta = 0.7000	max_depth = 6.0000	gamma = 0.0000	Value = -0.7780 
elapsed = 871.67	Round = 102	nrounds = 800.0000	eta = 0.7000	max_depth = 6.0000	gamma = 0.0000	Value = -0.7780 
elapsed = 805.44	Round = 103	nrounds = 738.5908	eta = 0.7000	max_depth = 6.0000	gamma = 0.8357	Value = -0.7949 
